rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,val_fitness_raw,n_episodes_val,max_episode_val,n_episodes_train_val,val_half1_excess_sharpe,val_half2_excess_sharpe,stable,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on,drop_reason,nasdaq_val_excess_sharpe,nasdaq_val_sharpe,nasdaq_val_sharpe_bh,nasdaq_holdout_excess_sharpe,nasdaq_holdout_sharpe,nasdaq_holdout_sharpe_bh,cross_asset
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_uranus_venus_square_orb3,4,10,-0.3012126460426312,-0.15121264604263118,0.3591448535251399,0.6628044844960109,0.812804484496011,1.2052449133941359,0.39244042889812486,0.6628044844960109,7,52,24,1.0796473633793835,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.4104534881974922,0.8167460470469806,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_uranus_venus_square_orb3,4,10,-0.2980616947119855,-0.14806169471198555,0.36229580485578555,0.6608909592591808,0.8108909592591809,1.2033313881573058,0.39244042889812486,0.6608909592591808,7,52,24,1.0769180544364452,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.4228657279963594,0.8291582868458478,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_sun_uranus_trine_orb5,4,10,-0.357079031696531,-0.20707903169653097,0.30327846787124013,0.6592685480284134,0.8092685480284134,1.2017089769265383,0.39244042889812486,0.6592685480284134,7,58,23,1.0746040276541484,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.4001475059549557,0.8064400648044441,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_sun_uranus_trine_orb5,4,10,-0.35403849859589287,-0.20403849859589285,0.30631900097187825,0.6575628516369522,0.8075628516369522,1.200003280535077,0.39244042889812486,0.6575628516369522,7,56,23,1.072171270452435,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.41202906846402026,0.8183216273135087,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~venus_sign_taurus,4,10,-0.37651778203452824,-0.22651778203452821,0.2838397175332429,0.6560381064549333,0.8060381064549333,1.1984785353530583,0.39244042889812486,0.6560381064549333,6,102,18,1.069996646216207,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.32328968502997685,0.7295822438794652,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~venus_sign_taurus,4,10,-0.37345373507084134,-0.22345373507084137,0.2869037644969297,0.6549076261028784,0.8049076261028785,1.1973480550010034,0.39244042889812486,0.6549076261028784,6,100,18,1.0683843616516164,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,0.00023999520009599807,50000.0,validation,,0.33349873229501176,0.7397912911445002,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5 & ~asp_uranus_venus_square_orb3,4,10,-0.3028464427483558,-0.1528464427483558,0.3575110568194153,0.6535181615904334,0.8035181615904334,1.1959585904885583,0.39244042889812486,0.6535181615904334,8,58,26,1.0664027511699163,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.49175222450095074,0.8980447833504391,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_pluto_sun_opp_orb5,4,10,-0.3419267823816622,-0.19192678238166222,0.3184307171861089,0.6525936967789437,0.8025936967789438,1.1950341256770687,0.39244042889812486,0.6525936967789437,6,102,18,1.0650843304519717,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.3402413070981469,0.7465338659476353,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_pluto_sun_opp_orb5,4,10,-0.3388852626978759,-0.18888526269787592,0.3214722368698952,0.6506749124531318,0.8006749124531318,1.1931153413512567,0.39244042889812486,0.6506749124531318,6,100,18,1.0623479217509575,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.3503080918124886,0.756600650661977,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5 & ~asp_sun_uranus_trine_orb5,4,10,-0.37063104658927004,-0.22063104658927007,0.289726452978501,0.6498823203435883,0.7998823203435883,1.1923227492417132,0.39244042889812486,0.6498823203435883,8,60,29,1.0612176154986672,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,1.999960000799984e-05,50000.0,validation,,0.48065812519200807,0.8869506840414965,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_neptune_sun_trine_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,4,10,-0.3904318220728905,-0.24043182207289054,0.26992567749488056,0.649803742674827,0.799803742674827,1.192244171572952,0.39244042889812486,0.649803742674827,7,63,23,1.0611055575098112,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.35352592929840226,0.7598184881478907,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_neptune_sun_trine_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5,4,10,-0.38750564267817655,-0.2375056426781766,0.2728518568895945,0.6475659921507652,0.7975659921507652,1.19000642104889,0.39244042889812486,0.6475659921507652,7,61,23,1.0579144004888936,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3637477557611231,0.7700403146106115,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_pluto_sun_opp_orb5 & ~asp_saturn_venus_sextile_orb5,4,10,-0.3550736567122207,-0.20507365671222072,0.3052838428555504,0.6432259797925904,0.7932259797925905,1.1856664086907154,0.39244042889812486,0.6432259797925904,7,97,24,1.051725590767276,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.41929579905830944,0.8255883579077978,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_mercury_moon_trine_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,4,10,-0.36815566059945926,-0.21815566059945923,0.29220183896831187,0.6417810171821011,0.7917810171821011,1.184221446080226,0.39244042889812486,0.6417810171821011,8,100,21,1.049665174721036,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3746069823685609,0.7808995412180493,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_neptune_sun_trine_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5,4,10,-0.4046324530719755,-0.2546324530719755,0.2557250464957956,0.6405322272158659,0.7905322272158659,1.1829726561139908,0.39244042889812486,0.6405322272158659,8,59,29,1.0478845212145107,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4322120650501004,0.8385046238995888,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_mercury_opp_orb5 & ~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,4,10,-0.3599017195832195,-0.20990171958321946,0.30045577998455164,0.6368614240711096,0.7868614240711096,1.1793018529692345,0.39244042889812486,0.6368614240711096,7,102,19,1.0426504938165506,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.21864123639476823,0.6249337952442566,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_mars_sun_square_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,4,10,-0.3350495473641165,-0.18504954736411655,0.32530795220365455,0.6356765246253119,0.7856765246253119,1.1781169535234368,0.39244042889812486,0.6356765246253119,6,102,18,1.0409610587936309,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3398509520236049,0.7461435108730933,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_mercury_opp_orb5 & ~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5,4,10,-0.35690287264443166,-0.20690287264443163,0.30345462692333947,0.6352929533052786,0.7852929533052786,1.1777333822034035,0.39244042889812486,0.6352929533052786,7,100,19,1.0404141671113367,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.22665610517381213,0.6329486640233005,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_moon_venus_trine_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,4,10,-0.4502839768533978,-0.3002839768533978,0.2100735227143733,0.6336141711763218,0.7836141711763218,1.1760546000744467,0.39244042889812486,0.6336141711763218,11,64,57,1.038020613190673,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.41051563627717785,0.8168081951266662,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_mars_sun_square_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5,4,10,-0.3320622386129707,-0.18206223861297072,0.3282952609548004,0.6333689146445559,0.7833689146445559,1.1758093435426809,0.39244042889812486,0.6333689146445559,6,100,18,1.037670939002842,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3498278734851806,0.756120432334669,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_sun_conj_orb5 & ~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_uranus_venus_square_orb3,4,10,-0.32094437201519255,-0.17094437201519258,0.3394131275525785,0.6322318479738561,0.7822318479738561,1.174672276871981,0.39244042889812486,0.6322318479738561,6,92,22,1.0360497834160778,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4318605784838631,0.8381531373333515,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_moon_venus_trine_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5,4,10,-0.44737617633402504,-0.2973761763340251,0.21298132323374602,0.6312275591126749,0.7812275591126749,1.1736679880107999,0.39244042889812486,0.6312275591126749,11,62,57,1.034617955343434,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4226714648424717,0.8289640236919601,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~venus_sign_libra,4,10,-0.3109953663324041,-0.16099536633240408,0.349362133235367,0.6303599345103558,0.7803599345103558,1.1728003634084807,0.39244042889812486,0.6303599345103558,6,93,18,1.0333809876043387,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.5588142467833213,0.9651068056328097,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_mars_sun_square_orb5 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,4,10,-0.3096761698947015,-0.15967616989470151,0.3506813296730696,0.628691938073708,0.7786919380737081,1.171132366971833,0.39244042889812486,0.628691938073708,6,102,18,1.0310029763627264,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3330655984674546,0.739358157316943,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_sun_conj_orb5 & ~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_sun_uranus_trine_orb5,4,10,-0.36445503474122964,-0.21445503474122968,0.2959024648265414,0.6280853380375145,0.7780853380375146,1.1705257669356395,0.39244042889812486,0.6280853380375145,6,94,21,1.030138179134941,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4211077226902829,0.8274002815397713,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~venus_sign_libra,4,10,-0.3078237335153533,-0.15782373351535328,0.3525337660524178,0.6279195269032741,0.7779195269032741,1.170359955801399,0.39244042889812486,0.6279195269032741,6,91,18,1.0299017923488378,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.5768306105773051,0.9831231694267936,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,3,7,-0.2953258597306031,-0.19032585973060312,0.320031639837168,0.6278533291816435,0.7328533291816435,1.1252937580797684,0.39244042889812486,0.6278533291816435,5,102,13,0.9656737660872772,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3469972998546212,0.7532898587041096,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_uranus_venus_square_orb5,4,10,-0.31389475249902477,-0.16389475249902474,0.34646274706874636,0.6275155986403725,0.7775155986403726,1.1699560275384975,0.39244042889812486,0.6275155986403725,7,52,24,1.0293259388442026,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.33030563236787097,0.7365981912173594,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_mars_sun_square_orb5 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5,4,10,-0.30657676024979486,-0.15657676024979483,0.35378073931797627,0.6265520647195039,0.7765520647195039,1.1689924936176288,0.39244042889812486,0.6265520647195039,6,100,18,1.027952306140477,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.34337612834623427,0.7496686871957227,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_mars_sun_square_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5,4,10,-0.3479265846346642,-0.19792658463466423,0.3124309149331069,0.6263135844789113,0.7763135844789113,1.1687540133770362,0.39244042889812486,0.6263135844789113,7,97,24,1.0276123269301616,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.41866416926062694,0.8249567281101153,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_uranus_venus_square_orb5,4,10,-0.31073694796330764,-0.16073694796330762,0.3496205516044635,0.6252321788731457,0.7752321788731458,1.1676726077712707,0.39244042889812486,0.6252321788731457,7,51,24,1.0260706812634413,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.34155091002948074,0.7478434688789691,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5,3,7,-0.29235166949847385,-0.18735166949847387,0.32300583006929723,0.6246403546718549,0.7296403546718548,1.1220807835699798,0.39244042889812486,0.6246403546718549,5,100,13,0.9610961646907368,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.35696913163050575,0.7632616904799941,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_moon_venus_trine_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5,4,10,-0.4511715058422534,-0.3011715058422534,0.20918599372551772,0.6242656751511554,0.7742656751511554,1.1667061040492803,0.39244042889812486,0.6242656751511554,12,59,62,1.0246928587916602,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.49114989225678535,0.8974424511062737,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_mercury_opp_orb5 & ~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_sun_square_orb5,4,10,-0.3596140611188261,-0.20961406111882613,0.30074343844894497,0.6241121274305271,0.7741121274305272,1.166552556328652,0.39244042889812486,0.6241121274305271,6,95,23,1.0244739668828262,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.33611638865745025,0.7424089475069386,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_pluto_sun_sextile_orb3,4,10,-0.3204915602839319,-0.17049156028393192,0.3398659392838392,0.6240101500361467,0.7740101500361467,1.1664505789342716,0.39244042889812486,0.6240101500361467,7,93,21,1.024328591968824,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.39862280363507024,0.8049153624845586,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_saturn_sun_sextile_orb5 & ~asp_saturn_sun_trine_orb3,4,10,-0.36700396870252905,-0.21700396870252908,0.293353530865242,0.623723192488355,0.773723192488355,1.1661636213864799,0.39244042889812486,0.623723192488355,7,77,27,1.02391951782256,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.36873476140530664,0.775027320254795,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_sun_conj_orb5 & ~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~venus_sign_taurus,4,10,-0.39944463182261425,-0.24944463182261428,0.2609128677451568,0.6234353732519077,0.7734353732519077,1.1658758021500326,0.39244042889812486,0.6234353732519077,5,100,17,1.0235092169369213,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.34328724039470243,0.7495797992441908,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~venus_sign_leo,4,10,-0.25310413094730355,-0.10310413094730358,0.4072533686204675,0.623076212008317,0.773076212008317,1.165516640906442,0.39244042889812486,0.623076212008317,6,93,19,1.0229972167219434,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.30374189019856773,0.7100344490480561,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_sun_conj_orb5 & ~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_pluto_sun_opp_orb5,4,10,-0.36367132082245124,-0.21367132082245122,0.2966861787453199,0.6217428206828383,0.7717428206828383,1.1641832495809632,0.39244042889812486,0.6217428206828383,5,100,17,1.0210964309389112,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3598908309606877,0.7661833898101761,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_saturn_sun_sextile_orb5 & ~asp_saturn_sun_trine_orb3,4,10,-0.36675994411516133,-0.21675994411516136,0.29359755545260974,0.6213912738065727,0.7713912738065727,1.1638317027046976,0.39244042889812486,0.6213912738065727,7,77,27,1.0205952971433627,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.37970502761819286,0.7859975864676813,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~asp_pluto_sun_sextile_orb3,4,10,-0.31742999446420095,-0.16742999446420093,0.3429275051035702,0.6213881395749387,0.7713881395749387,1.1638285684730636,0.39244042889812486,0.6213881395749387,7,91,21,1.0205908292740127,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.40995110838122645,0.8162436672307148,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5 & ~venus_sign_libra,4,10,-0.32349358381635407,-0.1734935838163541,0.336863915751417,0.6210057164946784,0.7710057164946784,1.1634461453928033,0.39244042889812486,0.6210057164946784,7,70,24,1.0200456839340106,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.6449082328107891,1.0512007916602775,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5 & ~venus_sign_leo,4,10,-0.24984024980332784,-0.09984024980332784,0.41051724976444326,0.6204861036514974,0.7704861036514974,1.1629265325496223,0.39244042889812486,0.6204861036514974,6,91,19,1.019304978795582,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.313451625431211,0.7197441842806994,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_moon_saturn_trine_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3,4,10,-0.31521554576593624,-0.16521554576593628,0.3451419538018348,0.6203754158359284,0.7703754158359284,1.1628158447340533,0.39244042889812486,0.6203754158359284,6,93,25,1.01914719463946,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.36348377820789207,0.7697763370573805,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_jupiter_sun_conj_orb5 & ~asp_mars_pluto_sextile_orb3 & ~asp_neptune_sun_trine_orb1 & asp_neptune_uranus_conj_orb5,4,10,-0.4131055873581686,-0.2631055873581686,0.2472519122096025,0.6196908370334645,0.7696908370334645,1.1621312659315894,0.39244042889812486,0.6196908370334645,6,93,22,1.0181713411522635,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.37320066987997763,0.779493228729466,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb3 & ~asp_saturn_venus_sextile_orb5,4,10,-0.35705716552434486,-0.2070571655243449,0.3033003340434262,0.619618615350639,0.769618615350639,1.162059044248764,0.39244042889812486,0.619618615350639,7,97,23,1.0180683911198192,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3913641980446793,0.7976567568941677,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_mars_sun_square_orb5 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5,4,10,-0.32196045024681796,-0.17196045024681794,0.33839704932095316,0.6192039085560427,0.7692039085560427,1.1616443374541676,0.39244042889812486,0.6192039085560427,7,97,23,1.0174772399351322,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4132914043830886,0.819583963232577,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5,3,7,-0.30831523054267984,-0.20331523054267986,0.30704226902509124,0.6184328626475402,0.7234328626475401,1.115873291545665,0.39244042889812486,0.6184328626475402,6,97,19,0.9522527616689582,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.4253515531526911,0.8316441120021795,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & asp_neptune_uranus_conj_orb5 & ~asp_saturn_venus_sextile_orb5 & ~asp_uranus_venus_square_orb5,4,10,-0.32007355011231986,-0.1700735501123199,0.3402839494554512,0.6180728108776715,0.7680728108776715,1.1605132397757965,0.39244042889812486,0.6180728108776715,8,58,26,1.0158649139362896,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.41339049348340146,0.8196830523328898,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
~asp_mars_pluto_sextile_orb3 & ~asp_moon_saturn_trine_orb1 & asp_neptune_uranus_conj_orb5 & ~asp_neptune_venus_conj_orb5,4,10,-0.31217757860734385,-0.1621775786073439,0.3481799209604272,0.6176895201091342,0.7676895201091343,1.1601299490072592,0.39244042889812486,0.6176895201091342,6,91,25,1.015318556906005,-0.2044341522827901,False,-0.9052880872991425,-0.7552880872991424,0.0,0.7552880872991424,,,validation,,0.3738970293255905,0.7801895881750789,0.4062925588494884,-0.8178278663975544,0.0,0.8178278663975544,True
